demo name,eh2-whisper,el2-openocd,el2-whisper,eh1-openocd,eh1-whisper,hifive1-openocd,
64bit_access,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bit_manipulation,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cache_control,passed,passed,passed,passed,passed,n/a,gcc
comrv_baremetal,n/a,n/a,n/a,n/a,n/a,n/a,n/a
comrv_baremetal_extended,n/a,n/a,n/a,n/a,n/a,n/a,n/a
comrv_baremetal_multigroup,n/a,n/a,n/a,n/a,n/a,n/a,n/a
comrv_instrumentation,n/a,n/a,n/a,n/a,n/a,n/a,n/a
comrv_reset,n/a,n/a,n/a,n/a,n/a,n/a,n/a
comrv_rtosal,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cti,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cti_rtosal,n/a,n/a,n/a,n/a,n/a,n/a,n/a
external_interrupts,passed,passed,passed,passed,passed,n/a,gcc
freertos,passed,passed,passed,passed,passed,passed,gcc
multi_harts,passed,n/a,n/a,n/a,n/a,n/a,gcc
nmi,passed,passed,passed,passed,passed,n/a,gcc
performance_monitor,passed,passed,passed,passed,passed,n/a,gcc
pwr_mgmt_control_baremetal,passed,passed,passed,passed,passed,n/a,gcc
software_interrupts,passed,passed,passed,n/a,n/a,n/a,gcc
trap_baremetal,passed,passed,passed,passed,passed,passed,gcc
64bit_access,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bit_manipulation,passed,passed,passed,n/a,n/a,n/a,llvm
cache_control,passed,passed,passed,passed,passed,n/a,llvm
comrv_baremetal,passed,passed,passed,passed,passed,passed,llvm
comrv_baremetal_extended,passed,passed,passed,passed,passed,passed,llvm
comrv_baremetal_multigroup,passed,passed,passed,passed,passed,passed,llvm
comrv_instrumentation,passed,passed,passed,passed,passed,passed,llvm
comrv_reset,passed,passed,passed,passed,passed,passed,llvm
comrv_rtosal,passed,passed,passed,passed,passed,passed,llvm
cti,passed,passed,passed,passed,passed,n/a,llvm
cti_rtosal,passed,passed,passed,n/a,n/a,n/a,llvm
external_interrupts,passed,passed,passed,passed,passed,n/a,llvm
freertos,passed,passed,passed,passed,passed,passed,llvm
multi_harts,passed,n/a,n/a,n/a,n/a,n/a,llvm
nmi,passed,passed,passed,passed,passed,n/a,llvm
performance_monitor,passed,passed,passed,passed,passed,n/a,llvm
pwr_mgmt_control_baremetal,passed,passed,passed,passed,passed,n/a,llvm
software_interrupts,passed,passed,passed,n/a,n/a,n/a,llvm
trap_baremetal,passed,passed,passed,passed,passed,passed,llvm
